car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
TOYOTA,PRIUS,93000.0,1800.0,Automatic Transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2019,4883891.0
CITROEN,C4,14000.0,1500.0,Automatic Transmission,Diesel,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,1,2022,3018116.0
HYUNDAI,PALISADE,34000.0,2199.0,Automatic Transmission,Diesel,LHD,2WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021,5547241.0
BMW,5 SERIES,34000.0,4300.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,9177147.0
TOYOTA,FORTUNER 2.8 TRD SPORTIVO BLACK TOP 4WD,22000.0,2400.0,Automatic Transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2020,7837367.0
TOYOTA,LAND CRUISER PRADO TX,30000.0,2700.0,Automatic Transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2015,5347970.0
MERCEDES,S CLASS,113000.0,2987.0,Automatic Transmission,Diesel,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2015,6303341.0
TOYOTA,LAND CRUISER PRADO,15000.0,2700.0,Automatic Transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022,6937585.0
GENESIS,GV80,6000.0,2497.0,Automatic Transmission,Petrol,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2023,9527481.0
HYUNDAI,PALISADE,35000.0,2199.0,Automatic Transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022,4883891.0
MERCEDES,C CLASS,8000.0,1991.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,5429783.0
NISSAN,FAIRLADY Z,6000.0,3700.0,Automatic Transmission,Petrol,RHD,2WD,2 Seats,3 Doors,coupe,0,1,0,1,0,0,0,1,2021,5064069.0
KIA,K9,42000.0,3778.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,4639922.0
TOYOTA,PRIUS S,29000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019,4358367.0
TOYOTA,CROWN CROSSOVER,1000.0,2500.0,Automatic Transmission,Hybrid,RHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,0,2023,7350574.0
TOYOTA,PRIUS,49000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2020,2582044.0
